sub,ses,task,run,filename,number_of_TRs,abnormal_TR,error_run,note,sleepiness__1_7_scale_,alertness,focus,confidence,alignment,tmask_filepath,tmask_filename,num_tps_retained,percent_tps_retained,fFD_filepath,fFD_filename,mean_fFD,max_fFD
sub-INET001,ses-2,task-rest,run-05,sub-INET001_ses-2_task-rest_run-05_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-05_desc-tmask_fFD.txt,sub-INET001_ses-2_task-rest_run-05_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-05_desc-fFD.txt,sub-INET001_ses-2_task-rest_run-05_desc-fFD.txt,0.021973657,0.070447804
sub-INET001,ses-2,task-rest,run-06,sub-INET001_ses-2_task-rest_run-06_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-06_desc-tmask_fFD.txt,sub-INET001_ses-2_task-rest_run-06_desc-tmask_fFD.txt,262,97.03703704,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-06_desc-fFD.txt,sub-INET001_ses-2_task-rest_run-06_desc-fFD.txt,0.026069358,0.147067833
sub-INET001,ses-2,task-rest,run-07,sub-INET001_ses-2_task-rest_run-07_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-07_desc-tmask_fFD.txt,sub-INET001_ses-2_task-rest_run-07_desc-tmask_fFD.txt,260,96.2962963,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-07_desc-fFD.txt,sub-INET001_ses-2_task-rest_run-07_desc-fFD.txt,0.029488161,0.143764217
sub-INET001,ses-2,task-rest,run-08,sub-INET001_ses-2_task-rest_run-08_bold.nii.gz,270,0,NA,done after MRA/MRV,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-08_desc-tmask_fFD.txt,sub-INET001_ses-2_task-rest_run-08_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-08_desc-fFD.txt,sub-INET001_ses-2_task-rest_run-08_desc-fFD.txt,0.023611221,0.097223244
sub-INET001,ses-3,task-rest,run-01,sub-INET001_ses-3_task-rest_run-01_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-01_desc-tmask_fFD.txt,sub-INET001_ses-3_task-rest_run-01_desc-tmask_fFD.txt,258,95.55555556,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-01_desc-fFD.txt,sub-INET001_ses-3_task-rest_run-01_desc-fFD.txt,0.015351174,0.170454474
sub-INET001,ses-3,task-rest,run-02,sub-INET001_ses-3_task-rest_run-02_bold.nii.gz,270,0,NA,big spike at end,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-02_desc-tmask_fFD.txt,sub-INET001_ses-3_task-rest_run-02_desc-tmask_fFD.txt,260,96.2962963,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-02_desc-fFD.txt,sub-INET001_ses-3_task-rest_run-02_desc-fFD.txt,0.022514662,0.127324544
sub-INET001,ses-3,task-rest,run-03,sub-INET001_ses-3_task-rest_run-03_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-03_desc-tmask_fFD.txt,sub-INET001_ses-3_task-rest_run-03_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-03_desc-fFD.txt,sub-INET001_ses-3_task-rest_run-03_desc-fFD.txt,0.01431884,0.055617335
sub-INET001,ses-3,task-rest,run-04,sub-INET001_ses-3_task-rest_run-04_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-04_desc-tmask_fFD.txt,sub-INET001_ses-3_task-rest_run-04_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-04_desc-fFD.txt,sub-INET001_ses-3_task-rest_run-04_desc-fFD.txt,0.016078286,0.098020038
sub-INET001,ses-3,task-rest,run-05,sub-INET001_ses-3_task-rest_run-05_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-05_desc-tmask_fFD.txt,sub-INET001_ses-3_task-rest_run-05_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-05_desc-fFD.txt,sub-INET001_ses-3_task-rest_run-05_desc-fFD.txt,0.019739522,0.096605216
sub-INET001,ses-3,task-rest,run-06,sub-INET001_ses-3_task-rest_run-06_bold.nii.gz,270,0,NA,long blinks,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-06_desc-tmask_fFD.txt,sub-INET001_ses-3_task-rest_run-06_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-06_desc-fFD.txt,sub-INET001_ses-3_task-rest_run-06_desc-fFD.txt,0.018865744,0.070603074
