"subject","session","run","task","file","path","FD"
"INET016","1",1,"rest","sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-1/func/FD_outputs/sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt",263
"INET016","1",2,"rest","sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-1/func/FD_outputs/sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt",259
"INET016","1",3,"rest","sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-1/func/FD_outputs/sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt",237
"INET016","1",4,"rest","sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-1/func/FD_outputs/sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt",257
"INET016","1",5,"rest","sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-1/func/FD_outputs/sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt",265
"INET016","1",6,"rest","sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-1/func/FD_outputs/sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt",262
"INET016","1",7,"rest","sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-1/func/FD_outputs/sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt",251
"INET016","1",8,"rest","sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-1/func/FD_outputs/sub-INET016_ses-1_task-rest_desc-framenums_fFD.txt",261
"INET016","2",1,"rest","sub-INET016_ses-2_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-2/func/FD_outputs/sub-INET016_ses-2_task-rest_desc-framenums_fFD.txt",256
"INET016","2",2,"rest","sub-INET016_ses-2_task-rest_desc-framenums_fFD.txt","/Volumes/illinois-las-psych-gratton/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET016/ses-2/func/FD_outputs/sub-INET016_ses-2_task-rest_desc-framenums_fFD.txt",255
